region,num_agents,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
california,3,CommNet (matched),3042,7,-3.0,1.0,0.49195402298850577,335,-215.34218749999997
california,3,CommNet (matched),3042,8,10.0,0.6666666666666666,0.7724137931034483,475,-240.25585937499997
california,3,CommNet (matched),3042,9,22.0,0.3333333333333333,0.735632183908046,739,-507.861328125
california,3,CommNet (matched),3042,10,22.0,0.3333333333333333,0.7195402298850575,639,-448.969140625
california,3,CommNet (matched),3042,11,28.0,0.16666666666666666,0.7310344827586207,712,-599.8539062499999
california,3,CommNet (matched),3042,12,28.0,0.16666666666666666,0.7052341597796143,799,-540.465625
california,3,CommNet (matched),3042,13,16.0,0.5,0.42528735632183906,626,-400.626953125
california,3,CommNet (matched),3042,14,4.0,0.6666666666666666,0.767816091954023,515,-267.721875
california,3,CommNet (matched),4042,0,0.0,0.8333333333333334,0.767816091954023,437,-253.212890625
california,3,CommNet (matched),4042,1,16.0,0.5,0.9954022988505747,510,-331.8359375
california,3,CommNet (matched),4042,2,-3.0,1.0,0.45977011494252873,283,-150.10585937500002
california,3,CommNet (matched),4042,3,22.0,0.3333333333333333,0.7057471264367816,705,-480.43828125000005
california,3,CommNet (matched),4042,4,28.0,0.16666666666666666,0.6873563218390805,689,-508.68906250000043
california,3,CommNet (matched),4042,5,28.0,0.16666666666666666,0.5824561403508772,807,-382.93359375
california,3,CommNet (matched),4042,6,16.0,0.5,0.48735632183908045,575,-354.634765625
california,3,CommNet (matched),4042,7,34.0,0.0,0.6957928802588996,814,-457.183984375
california,3,CommNet (matched),4042,8,22.0,0.3333333333333333,0.6873563218390805,531,-361.26406249999997
california,3,CommNet (matched),4042,9,22.0,0.3333333333333333,0.7448275862068966,792,-563.847265625
california,3,CommNet (matched),4042,10,0.0,0.8333333333333334,0.42528735632183906,434,-260.739453125
california,3,CommNet (matched),4042,11,28.0,0.16666666666666666,0.49019607843137253,812,-293.84453125
california,3,CommNet (matched),4042,12,16.0,0.5,0.42528735632183906,621,-401.39375
california,3,CommNet (matched),4042,13,22.0,0.3333333333333333,0.9793103448275862,625,-411.591796875
california,3,CommNet (matched),4042,14,22.0,0.3333333333333333,0.6873563218390805,664,-442.63124999999997
california,6,No-Op,42,0,34.0,0.0,1.0,827,-421.54296875
california,6,No-Op,42,1,16.0,0.5,1.0,555,-281.123046875
california,6,No-Op,42,2,28.0,0.16666666666666666,1.0,632,-415.400390625
california,6,No-Op,42,3,12.0,0.5,1.0,487,-307.79296875
california,6,No-Op,42,4,22.0,0.3333333333333333,1.0,623,-376.923828125
california,6,No-Op,42,5,34.0,0.0,1.0,827,-599.43359375
california,6,No-Op,42,6,34.0,0.0,1.0,827,-578.642578125
california,6,No-Op,42,7,34.0,0.0,1.0,827,-358.10546875
california,6,No-Op,42,8,22.0,0.3333333333333333,1.0,543,-347.119140625
california,6,No-Op,42,9,34.0,0.0,1.0,827,-571.689453125
california,6,No-Op,42,10,9.0,0.6666666666666666,1.0,418,-259.091796875
california,6,No-Op,42,11,22.0,0.3333333333333333,1.0,542,-333.046875
california,6,No-Op,42,12,34.0,0.0,1.0,827,-436.279296875
california,6,No-Op,42,13,12.0,0.5,1.0,466,-301.787109375
california,6,No-Op,42,14,22.0,0.3333333333333333,1.0,613,-358.974609375
california,6,No-Op,1042,0,22.0,0.3333333333333333,1.0,543,-349.462890625
california,6,No-Op,1042,1,34.0,0.0,1.0,765,-550.556640625
california,6,No-Op,1042,2,34.0,0.0,1.0,827,-341.083984375
california,6,No-Op,1042,3,28.0,0.16666666666666666,1.0,748,-566.416015625
california,6,No-Op,1042,4,34.0,0.0,1.0,827,-564.765625
california,6,No-Op,1042,5,28.0,0.16666666666666666,1.0,783,-553.59375
