region,condition,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
california,heldout_ignition,Local Reactive,1042,2,-12.0,1.0,0.9954022988505747,396,-295.29296875
california,heldout_ignition,Local Reactive,1042,3,-6.0,1.0,0.9954022988505747,272,-112.05078125
california,heldout_ignition,Local Reactive,1042,4,16.0,0.5,1.0,593,-435.322265625
california,heldout_ignition,Local Reactive,1042,5,34.0,0.0,1.0,781,-724.736328125
california,heldout_ignition,Local Reactive,1042,6,4.0,0.6666666666666666,0.9908045977011494,521,-274.269921875
california,heldout_ignition,Local Reactive,1042,7,9.0,0.6666666666666666,1.0,388,-305.95703125
california,heldout_ignition,Local Reactive,1042,8,-13.0,1.0,1.0,275,-112.080078125
california,heldout_ignition,Local Reactive,1042,9,28.0,0.16666666666666666,0.9885057471264368,647,-471.76015625
california,heldout_ignition,Local Reactive,1042,10,28.0,0.16666666666666666,1.0,779,-411.8359375
california,heldout_ignition,Local Reactive,1042,11,10.0,0.8333333333333334,0.9954022988505747,467,-252.4609375
california,heldout_ignition,Local Reactive,1042,12,3.0,0.8333333333333334,0.993103448275862,407,-295.732421875
california,heldout_ignition,Local Reactive,1042,13,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Local Reactive,1042,14,22.0,0.3333333333333333,0.9885057471264368,599,-464.931640625
california,heldout_ignition,Local Reactive,2042,0,16.0,0.3333333333333333,0.9824561403508771,765,-347.705078125
california,heldout_ignition,Local Reactive,2042,1,-16.0,1.0,0.9954022988505747,436,-253.798828125
california,heldout_ignition,Local Reactive,2042,2,9.0,0.6666666666666666,0.9977011494252873,417,-302.275390625
california,heldout_ignition,Local Reactive,2042,3,0.0,1.0,0.9954022988505747,248,-108.801171875
california,heldout_ignition,Local Reactive,2042,4,2.0,0.5,1.0,652,-473.6328125
california,heldout_ignition,Local Reactive,2042,5,28.0,0.16666666666666666,0.9973753280839895,750,-531.8359375
california,heldout_ignition,Local Reactive,2042,6,1.0,0.6666666666666666,1.0,464,-262.3828125
california,heldout_ignition,Local Reactive,2042,7,6.0,0.6666666666666666,0.9977011494252873,404,-293.955078125
california,heldout_ignition,Local Reactive,2042,8,-9.0,1.0,0.9954022988505747,279,-112.42421875
california,heldout_ignition,Local Reactive,2042,9,22.0,0.3333333333333333,0.9908045977011494,685,-498.8671875
california,heldout_ignition,Local Reactive,2042,10,22.0,0.3333333333333333,0.9964912280701754,789,-362.802734375
california,heldout_ignition,Local Reactive,2042,11,7.0,0.6666666666666666,0.9908045977011494,489,-266.357421875
california,heldout_ignition,Local Reactive,2042,12,6.0,0.6666666666666666,1.0,315,-283.408203125
california,heldout_ignition,Local Reactive,2042,13,-3.0,1.0,1.0,207,-100.517578125
california,heldout_ignition,Local Reactive,2042,14,16.0,0.5,1.0,573,-457.421875
california,heldout_ignition,Local Reactive,3042,0,28.0,0.16666666666666666,0.993127147766323,790,-351.708984375
california,heldout_ignition,Local Reactive,3042,1,7.0,0.8333333333333334,0.9724137931034482,476,-261.733203125
california,heldout_ignition,Local Reactive,3042,2,6.0,0.6666666666666666,0.993103448275862,424,-300.62734375
california,heldout_ignition,Local Reactive,3042,3,0.0,1.0,0.9954022988505747,274,-112.138671875
california,heldout_ignition,Local Reactive,3042,4,4.0,0.6666666666666666,0.9977011494252873,481,-401.201171875
california,heldout_ignition,Local Reactive,3042,5,28.0,0.16666666666666666,0.9789473684210527,797,-370.0
california,heldout_ignition,Local Reactive,3042,6,4.0,0.8333333333333334,0.9770114942528736,532,-273.459375
california,heldout_ignition,Local Reactive,3042,7,0.0,0.8333333333333334,0.9862068965517241,374,-291.975
california,heldout_ignition,Local Reactive,3042,8,-6.0,1.0,0.9885057471264368,277,-112.375390625
california,heldout_ignition,Local Reactive,3042,9,22.0,0.3333333333333333,0.9908045977011494,665,-488.88671875
california,heldout_ignition,Local Reactive,3042,10,28.0,0.16666666666666666,0.9908045977011494,761,-682.199609375
california,heldout_ignition,Local Reactive,3042,11,13.0,0.6666666666666666,0.9977011494252873,510,-263.18359375
california,heldout_ignition,Local Reactive,3042,12,6.0,0.6666666666666666,1.0,431,-311.181640625
california,heldout_ignition,Local Reactive,3042,13,0.0,1.0,0.9977011494252873,260,-111.34765625
california,heldout_ignition,Local Reactive,3042,14,16.0,0.5,0.9977011494252873,625,-443.3984375
california,heldout_ignition,Local Reactive,4042,0,28.0,0.16666666666666666,1.0,786,-357.783203125
california,heldout_ignition,Local Reactive,4042,1,4.0,0.8333333333333334,0.9977011494252873,460,-258.7109375
california,heldout_ignition,Local Reactive,4042,2,-9.0,1.0,1.0,359,-288.33984375
california,heldout_ignition,Local Reactive,4042,3,-3.0,1.0,0.9977011494252873,255,-110.56640625
california,heldout_ignition,Local Reactive,4042,4,28.0,0.16666666666666666,1.0,629,-452.724609375
california,heldout_ignition,Local Reactive,4042,5,34.0,0.0,0.9964912280701754,790,-367.40234375
california,heldout_ignition,Local Reactive,4042,6,4.0,0.8333333333333334,0.9954022988505747,504,-266.220703125
california,heldout_ignition,Local Reactive,4042,7,9.0,0.6666666666666666,0.9908045977011494,377,-294.7875
california,heldout_ignition,Local Reactive,4042,8,-3.0,1.0,0.9885057471264368,243,-106.09375
california,heldout_ignition,Local Reactive,4042,9,16.0,0.5,0.9954022988505747,617,-467.822265625
california,heldout_ignition,Local Reactive,4042,10,34.0,0.0,0.9894736842105263,776,-333.937890625
california,heldout_ignition,Local Reactive,4042,11,13.0,0.6666666666666666,0.993103448275862,418,-250.6078125
