WEL,ISR,CE,burned,return,policy,ckpt_region,train_seed,eval_seed,episode,region,condition
17.0,0.5714285714285714,0.4009009009009009,197,-28.57142857142856,local_reactive,saudi,,4042,7,saudi,standard
10.0,0.8571428571428571,0.6772486772486772,93,-13.757142857142853,local_reactive,saudi,,4042,8,saudi,standard
23.0,0.4285714285714285,0.4568965517241379,145,-36.928571428571445,local_reactive,saudi,,4042,9,saudi,standard
14.0,0.7142857142857143,0.437984496124031,209,-22.814285714285703,local_reactive,saudi,,4042,10,saudi,standard
23.0,0.4285714285714285,0.4583333333333333,200,-37.12857142857146,local_reactive,saudi,,4042,11,saudi,standard
17.0,0.5714285714285714,0.4175824175824176,241,-28.87142857142856,local_reactive,saudi,,4042,12,saudi,standard
23.0,0.4285714285714285,0.4102564102564102,234,-39.12857142857149,local_reactive,saudi,,4042,13,saudi,standard
0.0,1.0,1.0,0,0.0,local_reactive,saudi,,4042,14,saudi,standard
0.0,1.0,0.9249448123620309,118,-0.4,commnet,saudi,42.0,42,0,saudi,standard
13.0,0.5714285714285714,0.9315673289183224,224,-21.77142857142857,commnet,saudi,42.0,42,1,saudi,standard
14.0,0.7142857142857143,0.9602649006622516,249,-19.91428571428571,commnet,saudi,42.0,42,2,saudi,standard
19.0,0.5714285714285714,0.9470198675496688,249,-28.07142857142857,commnet,saudi,42.0,42,3,saudi,standard
6.0,0.8571428571428571,0.9094922737306844,119,-9.357142857142858,commnet,saudi,42.0,42,4,saudi,standard
10.0,0.7142857142857143,0.9536423841059604,338,-16.014285714285712,commnet,saudi,42.0,42,5,saudi,standard
0.0,1.0,0.7218543046357616,167,-0.3,commnet,saudi,42.0,42,6,saudi,standard
0.0,1.0,0.9668874172185432,131,-0.3,commnet,saudi,42.0,42,7,saudi,standard
9.0,0.7142857142857143,0.9381898454746136,215,-14.914285714285713,commnet,saudi,42.0,42,8,saudi,standard
10.0,0.7142857142857143,0.9536423841059604,410,-16.014285714285712,commnet,saudi,42.0,42,9,saudi,standard
